id,name,genres
0TeVa4xdLB8vdzjsvKH6Ri,Anahí,[]
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,['filmi']
4K6blSRoklNdpw4mzLxwfn,Kumar Sanu,"['filmi', 'modern bollywood']"
6mdiAmATAx73kdxrNrnlao,Iron Maiden,"['alternative metal', 'hard rock', 'metal', 'nwobhm', 'rock']"
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']"
19i93sA0D7yS9dYoVNBqAA,thasup,"['italian hip hop', 'italian pop', 'trap italiana']"
165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
4x1nvY2FN8jxqAFA0DA02H,John Lennon,"['classic rock', 'rock']"
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
22WZ7M8sxp5THdruNY3gXt,The Doors,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
4KWTAlx2RvbpseOGMEmROg,R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'rock']"
27T030eWyCQRmDyuvr1kxY,Scorpions,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']"
2Kx7MNY7cI1ENniW7vT30N,Norah Jones,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']"
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']"
49bzE5vRBRIota4qeHtQM8,Skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']"
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire","['disco', 'funk', 'jazz funk', 'soul']"
3jOstUTkEu2JkjvRdBA5Gu,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']"
3o2dn2O0FCVsWDFSh8qxgG,Sabaton,"['power metal', 'swedish metal', 'swedish power metal']"
3FUY2gzHeIiaesXtOAdB7A,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,"['mellow gold', 'soft rock']"
4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']"
0PFtn5NtBbbUNbU9EAmIWF,TOTO,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
5EvFsr3kj42KNv97ZEnqij,Shaggy,"['pop rap', 'reggae fusion']"
1on7ZQ2pvgeQF4vmIA09x5,Charlie Brown Jr.,"['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']"
4U7lXyKdSf1JbM1aXvsodC,La Oreja de Van Gogh,"['latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']"
5yxyJsFanEAuwSM5kOuZKc,London Symphony Orchestra,"['british orchestra', 'classical', 'orchestra']"
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,"['classic soul', 'motown', 'neo soul', 'northern soul', 'quiet storm', 'soul']"
19ra5tSw0tWufvUp8GotLo,George Michael,['new wave pop']
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,"['dance pop', 'pop']"
0NbfKEOTQCcwd6o7wSDOHI,The Game,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,"['baroque pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']"
0rvjqX7ttXeg3mTy8Xscbt,Journey,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,"['classic country pop', 'country', 'country dawn']"
5ENS85nZShljwNgg4wFD7D,Gabry Ponte,"['eurodance', 'italo dance', 'slap house']"
2kXKa3aAFngGz2P4GjG5w2,SCH,"['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
2elBjNSdBE2Y3f0j1mjrql,Jay Chou,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']"
59wfkuBoNyhDMQGCljbUbA,Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
0GgyFUpOyzWDRDqx8FCTDN,Baby Rasta,"['reggaeton', 'trap latino', 'urbano latino']"
5e4Dhzv426EvQe3aDb64jL,Shania Twain,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']"
3SgHzT552wy2W8pNLaLk24,Hillsong Worship,"['ccm', 'christian music', 'world worship', 'worship']"
5vngPClqofybhPERIqQMYd,George Strait,"['contemporary country', 'country', 'country road']"
6uRJnvQ3f8whVnmeoecv5Z,Berliner Philharmoniker,"['classical', 'classical performance', 'german orchestra', 'orchestra']"
3OLGltG8UPIea8sA4w0yg0,Rahat Fateh Ali Khan,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']"
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,"['classic bollywood', 'filmi']"
4xd7mLI7urqrxELaXhAvzw,Shekhar Ravjiani,"['filmi', 'modern bollywood']"
014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno', 'sierreno']"
108moq3rq6bm1M4Ypz0J02,Intocable,"['banda', 'musica mexicana', 'norteno', 'tejano']"
3YbOSxo85kla7RID8ugnW3,Los Temerarios,"['grupera', 'musica mexicana']"
2IUtwMti1OiT3lkW6RubgH,K. S. Chithra,['filmi']
61qDotnjM0jnY5lkfOP7ve,TKKG,"['hoerspiel', 'kleine hoerspiel']"
3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan,"['filmi', 'modern bollywood']"
1l6d0RIxTL3JytlLGvWzYe,Benjamin Blümchen,"['hoerspiel', 'kindermusik', 'kleine hoerspiel']"
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']"
4F84IBURUo98rz4r61KF70,The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']"
